kode_produk,nama,harga,deskripsi
S0000204,optimal Atasan Maroon ,705404,"optimal Atasan Maroon  Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
S0000205,leverage Minuman Crimson ,1012918,leverage Minuman Crimson  Sed ante. Vivamus tortor. Duis mattis egestas metus.
S0000206,workforce Laptop Aquamarine ,464126,"workforce Laptop Aquamarine  In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
S0000207,Self-enabling Buku Sekolah Turquoise ,1011868,"Self-enabling Buku Sekolah Turquoise  Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
S0000208,model Dress Teal ,574469,"model Dress Teal  Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
S0000209,eco-centric Health Products Turquoise ,1141964,eco-centric Health Products Turquoise  Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
S0000210,website Outerwear Khaki ,1090020,"website Outerwear Khaki  Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
S0000211,Business-focused Tas Blue ,504398,Business-focused Tas Blue  Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
S0000212,optimal Tas Anak Orange ,594740,optimal Tas Anak Orange  Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
S0000213,interface Minuman Orange ,845383,"interface Minuman Orange  Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
S0000214,eco-centric TV Turquoise kecil,683814,"eco-centric TV Turquoise kecil Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
S0000215,Front-line Alat Tulis Orange ,1101737,"Front-line Alat Tulis Orange  Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
S0000216,core Aksesoris Rambut Indigo ,146834,"core Aksesoris Rambut Indigo  Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
S0000217,Automated Laptop Khaki ,231602,"Automated Laptop Khaki  Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
S0000218,flexibility Aksesoris Mobil Blue ,879390,"flexibility Aksesoris Mobil Blue  Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
S0000219,"Decentralized Perawatan Tangan, Kaki dan Kuku Blue ",888128,"Decentralized Perawatan Tangan, Kaki dan Kuku Blue  Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
S0000220,24/7 Dress Purple ,549107,"24/7 Dress Purple  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S0000221,Compatible Atasan Violet ,1161174,Compatible Atasan Violet  Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
S0000222,Stand-alone Batik Wanita Blue ,711628,Stand-alone Batik Wanita Blue  Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
S0000223,asynchronous Baju Tidur Fuscia ,1095053,"asynchronous Baju Tidur Fuscia  Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
S0000224,Persevering Tas Blue ,291170,"Persevering Tas Blue  Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
S0000225,Monitored Aksesoris Mobil Indigo ,282505,Monitored Aksesoris Mobil Indigo  Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
S0000226,application Bawahan Puce ,137099,"application Bawahan Puce  Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
S0000227,encompassing Laptop Mauv ,1136946,"encompassing Laptop Mauv  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S0000228,Universal Kosmetik Goldenrod ,279127,Universal Kosmetik Goldenrod  Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
S0000229,moderator Aksesoris Green ,214812,moderator Aksesoris Green  Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
S0000230,function Styling Rambut Violet ,214703,"function Styling Rambut Violet  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S0000231,Fundamental Basket Aquamarine ,179684,"Fundamental Basket Aquamarine  Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
S0000232,Front-line Sepatu Anak Perempuan Fuscia ,14165,"Front-line Sepatu Anak Perempuan Fuscia  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S0000233,5th generation Diet & Vitamin Purple ,548687,5th generation Diet & Vitamin Purple  Fusce consequat. Nulla nisl. Nunc nisl.
S0000234,attitude-oriented Setelan Muslim Indigo ,149249,"attitude-oriented Setelan Muslim Indigo  Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
S0000235,Grass-roots Sepatu Blue ,611202,"Grass-roots Sepatu Blue  In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
S0000236,fault-tolerant Novel Sastra Yellow ,1038850,fault-tolerant Novel Sastra Yellow  Fusce consequat. Nulla nisl. Nunc nisl.
S0000237,task-force Aksesoris Jilbab Goldenrod kecil,832908,task-force Aksesoris Jilbab Goldenrod kecil Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
S0000238,groupware Handphone Puce ,899402,"groupware Handphone Puce  Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
S0000239,Inverse Atasan Green ,80846,"Inverse Atasan Green  Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
S0000240,cohesive Sepatu Anak Perempuan Yellow ,699712,"cohesive Sepatu Anak Perempuan Yellow  Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
S0000241,bifurcated Peralatan Make Up Khaki ,939559,"bifurcated Peralatan Make Up Khaki  Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
S0000242,Universal Novel Sastra Green ,568980,"Universal Novel Sastra Green  Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
S0000243,heuristic Styling Rambut Pink ,1082480,"heuristic Styling Rambut Pink  Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
S0000244,content-based Outerwear Green ,762760,content-based Outerwear Green  Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
S0000245,Reduced Perhiasan Fashion Blue ,322331,Reduced Perhiasan Fashion Blue  Phasellus in felis. Donec semper sapien a libero. Nam dui.
S0000246,zero administration Aksesoris Rambut Anak Indigo ,950047,"zero administration Aksesoris Rambut Anak Indigo  Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
S0000247,Open-source Outerwear Pink ,320282,Open-source Outerwear Pink  Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
S0000248,Centralized Baju Tidur Fuscia ,112266,"Centralized Baju Tidur Fuscia  Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
S0000249,Integrated Setelan Muslim Orange ,1089898,"Integrated Setelan Muslim Orange  Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
S0000250,value-added Atasan Purple ,892895,value-added Atasan Purple  Fusce consequat. Nulla nisl. Nunc nisl.

